                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.95352,                 0.5502,                 1.1701,                0.86196,                0.91081,                0.90411,                0.65505,                0.99615,                 0.4385,                 1.1242,              0.0089902,              0.0089902,              0.0089902
                     53,                0.94946,                0.54876,                 1.1616,                0.86403,                0.90945,                0.90457,                 0.6555,                0.99586,                0.43749,                 1.1231,              0.0089704,              0.0089704,              0.0089704
                     54,                 0.9493,                0.54843,                 1.1693,                0.86368,                0.90846,                0.90388,                0.65548,                0.99546,                0.43749,                  1.123,              0.0089506,              0.0089506,              0.0089506
                     55,                0.94721,                0.54855,                 1.1717,                0.86366,                0.90778,                0.90501,                0.65602,                0.99541,                 0.4374,                 1.1236,              0.0089308,              0.0089308,              0.0089308
                     56,                0.94613,                0.54336,                 1.1667,                 0.8638,                0.90812,                0.90538,                0.65715,                0.99558,                0.43674,                 1.1233,               0.008911,               0.008911,               0.008911
                     57,                0.94461,                0.54371,                 1.1606,                0.86364,                0.90806,                0.90508,                 0.6576,                 0.9953,                0.43601,                 1.1226,              0.0088912,              0.0088912,              0.0088912
                     58,                0.94492,                0.54181,                 1.1663,                0.86356,                0.90659,                0.90497,                0.65883,                0.99537,                0.43583,                 1.1224,              0.0088714,              0.0088714,              0.0088714
                     59,                0.94163,                0.54122,                  1.162,                0.86593,                0.90283,                0.90525,                0.65841,                0.99434,                0.43519,                 1.1213,              0.0088516,              0.0088516,              0.0088516
                     60,                0.94567,                0.54493,                 1.1619,                0.86636,                0.90317,                0.90615,                0.65723,                0.99366,                0.43435,                 1.1204,              0.0088318,              0.0088318,              0.0088318
                     61,                0.94089,                0.54321,                 1.1659,                0.86728,                0.90283,                0.90616,                0.65855,                0.99341,                0.43393,                 1.1206,               0.008812,               0.008812,               0.008812
                     62,                0.94088,                0.54312,                 1.1661,                0.86816,                 0.9026,                0.90586,                0.65851,                0.99327,                0.43356,                  1.121,              0.0087922,              0.0087922,              0.0087922
                     63,                0.94133,                0.54249,                 1.1668,                0.86863,                0.90268,                0.90705,                 0.6595,                0.99353,                 0.4327,                 1.1215,              0.0087724,              0.0087724,              0.0087724
                     64,                0.94118,                 0.5418,                 1.1542,                0.87087,                0.90359,                0.90797,                0.65917,                0.99375,                0.43217,                 1.1206,              0.0087526,              0.0087526,              0.0087526
